PID;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Foundation;Bsmt Qual;Bsmt Cond;Bsmt Exposure;BsmtFin Type 1;BsmtFin Type 2;Heating;Electrical;Functional;Fireplaces;Garage Type;Garage Finish;Garage Qual;Garage Cond;Pool QC;Fence;Misc Feature;SalePrice
534277060;77.0;8593;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;6;1957;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;109008
534277070;0.0;8475;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;7;1956;0.0;CBlock;TA;TA;No;ALQ;Unf;GasA;FuseA;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;135750
534403050;75.0;8250;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;7;1964;0.0;CBlock;Gd;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;Gd;NA;MnPrv;NA;145000
534479150;63.0;7584;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1Story;5;5;1953;0.0;CBlock;TA;TA;No;LwQ;Unf;GasA;SBrkr;Typ;0;Attchd;RFn;TA;TA;NA;MnPrv;NA;112900
535153150;76.0;9120;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;6;1958;0.0;CBlock;TA;TA;No;ALQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;NA;Shed;163000
535176100;90.0;13200;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;1Story;6;6;1958;0.0;CBlock;TA;TA;No;LwQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;NA;NA;166800
535425060;76.0;11355;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;7;7;1958;2001.0;CBlock;TA;TA;No;BLQ;Unf;GasA;SBrkr;Typ;1;Attchd;RFn;TA;TA;NA;MnPrv;Othr;186000
535477090;69.0;7590;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;PosN;Normal;1Fam;1Story;5;5;1963;0.0;CBlock;TA;TA;No;Unf;Unf;GasA;SBrkr;Typ;0;Attchd;Unf;TA;TA;NA;NA;NA;136870
904100040;55.0;8250;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Adjacent to feeder street;Normal;1Fam;1Story;5;5;1968;0.0;CBlock;TA;TA;No;BLQ;LwQ;GasA;SBrkr;Typ;1;Attchd;Unf;TA;TA;NA;NA;NA;134000
905102170;70.0;11200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;1Story;5;5;1965;0.0;CBlock;TA;TA;No;Rec;Unf;GasA;SBrkr;Typ;0;Detchd;Unf;TA;TA;NA;NA;NA;129500
