PID,Gr Liv Area,SalePrice,Sale Type,Sale Condition,Mo Sold,Yr Sold,Bedroom,Full Bath,Half Bath,MS SubClass,MS Zoning,Exter Qual,Exter Cond,Heating QC,Kitchen Qual,Kitchen AbvGr,TotRms AbvGrd,Mas Vnr Area,Mas Vnr Type,Central Air,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Fireplace Qu,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Fireplaces,Fence,Foundation,Heating,Electrical,Functional,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Misc Feature,Misc Val,Pool Area,Pool QC
534277060,907,109008,WD ,Normal,7,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Hip,CompShg,MetalSd,MetalSd,Y,0,0,0,0,0,NA,907,0,0,0,NA,CBlock,GasA,SBrkr,Typ,77,8593,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,4,6,1957,1957,TA,TA,No,Rec,288.0,Unf,0.0,619.0,907,0,0,Detchd,1964.0,Unf,1,352,TA,TA,NA,0,0,NA
534277070,952,135750,WD ,Normal,4,2008,2,1,0,20,RL,TA,TA,Ex,TA,1,4,0,NA,True,Gable,CompShg,VinylSd,VinylSd,Y,0,0,0,0,0,NA,952,0,0,0,NA,CBlock,GasA,FuseA,Typ,0,8475,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,4,7,1956,1956,TA,TA,No,ALQ,228.0,Unf,0.0,724.0,952,0,0,Detchd,1956.0,Unf,1,283,TA,TA,NA,0,0,NA
534403050,1092,145000,WD ,Normal,7,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,6,260,Stone,True,Hip,CompShg,HdBoard,HdBoard,Y,0,0,0,0,0,NA,1092,0,0,0,MnPrv,CBlock,GasA,SBrkr,Typ,75,8250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,7,1964,1964,Gd,TA,No,Rec,787.0,Unf,0.0,305.0,1092,1,0,Attchd,1964.0,RFn,2,504,TA,Gd,NA,0,0,NA
534479150,1036,112900,WD ,Normal,6,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,88,BrkFace,True,Hip,CompShg,Wd Sdng,Wd Sdng,Y,120,24,0,0,0,NA,1036,0,0,0,MnPrv,CBlock,GasA,SBrkr,Typ,63,7584,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Artery,Normal,1Fam,1Story,5,5,1953,1953,TA,TA,No,LwQ,531.0,Unf,0.0,505.0,1036,0,0,Attchd,1953.0,RFn,1,312,TA,TA,NA,0,0,NA
535153150,1261,163000,WD ,Normal,11,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Hip,CompShg,MetalSd,MetalSd,Y,0,0,0,0,288,TA,1261,0,0,1,NA,CBlock,GasA,SBrkr,Typ,76,9120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Norm,Normal,1Fam,1Story,6,6,1958,1958,TA,TA,No,ALQ,662.0,Unf,0.0,599.0,1261,1,0,Attchd,1958.0,RFn,2,433,TA,TA,Shed,1400,0,NA
535176100,1570,166800,WD ,Normal,5,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,187,BrkFace,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,490,0,0,0,0,TA,1570,0,0,1,NA,CBlock,GasA,SBrkr,Typ,90,13200,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Names,Feedr,Normal,1Fam,1Story,6,6,1958,1958,TA,TA,No,LwQ,958.0,Unf,0.0,437.0,1395,1,0,Attchd,1958.0,RFn,2,441,TA,TA,NA,0,0,NA
535425060,1312,186000,WD ,Normal,4,2008,3,1,1,20,RL,TA,TA,Ex,TA,1,6,125,BrkFace,True,Gable,Tar&Grv,HdBoard,HdBoard,Y,0,304,144,0,0,Gd,1312,0,0,1,MnPrv,CBlock,GasA,SBrkr,Typ,76,11355,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Normal,1Fam,1Story,7,7,1958,2001,TA,TA,No,BLQ,637.0,Unf,0.0,675.0,1312,0,0,Attchd,1958.0,RFn,2,495,TA,TA,Othr,6500,0,NA
535477090,1117,136870,COD,Normal,5,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,6,0,NA,True,Gable,CompShg,Wd Sdng,Wd Sdng,Y,0,0,0,0,0,NA,1117,0,0,0,NA,CBlock,GasA,SBrkr,Typ,69,7590,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,PosN,Normal,1Fam,1Story,5,5,1963,1963,TA,TA,No,Unf,0.0,Unf,0.0,1117.0,1117,0,0,Attchd,1963.0,Unf,1,264,TA,TA,NA,0,0,NA
904100040,1211,134000,WD ,Normal,8,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Hip,CompShg,HdBoard,HdBoard,Y,0,63,0,0,0,TA,1211,0,0,1,NA,CBlock,GasA,SBrkr,Typ,55,8250,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Normal,1Fam,1Story,5,5,1968,1968,TA,TA,No,BLQ,250.0,LwQ,492.0,210.0,952,0,0,Attchd,1968.0,Unf,1,322,TA,TA,NA,0,0,NA
905102170,1040,129500,WD ,Normal,2,2008,3,1,0,20,RL,TA,TA,Ex,TA,1,5,0,NA,True,Hip,CompShg,HdBoard,HdBoard,Y,0,0,0,0,0,NA,1040,0,0,0,NA,CBlock,GasA,SBrkr,Typ,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Normal,1Fam,1Story,5,5,1965,1965,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040,1,0,Detchd,1965.0,Unf,1,384,TA,TA,NA,0,0,NA
